"b","s","r","L","p_fix","CI_0.025","CI_0.975"
0.2,0.01,1.e-12,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,0.008,1.e-12,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,0.006,1.e-12,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.201,0.014,1.e-12,100000.,0.00020616753706916696,0.000179,0.000235
0.201,0.012,1.e-12,100000.,0.0002014029199854716,0.000174,0.00022999999999999998
0.201,0.01,1.e-12,100000.,0.00019573197227735602,0.000169,0.000224
0.201,0.008,1.e-12,100000.,0.00018898404917844322,0.000163,0.000216
0.201,0.006,1.e-12,100000.,0.00018112979764720657,0.000155,0.000208
0.21,0.014,1.e-12,100000.,0.0008718819881989754,0.000815,0.0009299999999999999
0.21,0.012,1.e-12,100000.,0.0007622856491285905,0.000709,0.0008169999999999999
0.21,0.01,1.e-12,100000.,0.0006371576251706607,0.000588,0.000687
0.21,0.008,1.e-12,100000.,0.0004989868896056313,0.00045599999999999997,0.000543
0.21,0.006,1.e-12,100000.,0.0003578402204609983,0.000321,0.000395
0.19,0.014,1.e-12,200000.,0.00005195151507009467,0.000037999999999999995,0.000067
0.19,0.012,1.e-12,200000.,0.0000675163487229604,0.000052,0.000084
0.19,0.01,1.e-12,200000.,0.000088291400679022,0.00007,0.000107
0.19,0.008,1.e-12,200000.,0.00011425021759956293,0.000094,0.000136
0.19,0.006,1.e-12,200000.,0.00014187877727056983,0.00011899999999999999,0.000166
0.196,0.014,1.e-12,200000.,0.00010698215484123655,0.000087,0.000128
0.196,0.012,1.e-12,200000.,0.00011784648723195218,0.000097,0.00014
0.196,0.01,1.e-12,200000.,0.00013029330790303333,0.000108,0.000153
0.196,0.008,1.e-12,200000.,0.00014373701303590667,0.000121,0.000168
0.196,0.006,1.e-12,200000.,0.00015636252674251712,0.00013199999999999998,0.00018099999999999998
0.197,0.014,1.e-12,200000.,0.00011989792816751715,0.000099,0.00014199999999999998
0.197,0.012,1.e-12,200000.,0.00012876966281493663,0.000107,0.00015099999999999998
0.197,0.01,1.e-12,200000.,0.00013870927487537966,0.000116,0.00016199999999999998
0.197,0.008,1.e-12,200000.,0.0001492133794479452,0.000126,0.000174
0.197,0.006,1.e-12,200000.,0.00015888910312951285,0.000135,0.000184
0.198,0.014,1.e-12,200000.,0.00013409838681840565,0.000112,0.000157
0.198,0.012,1.e-12,200000.,0.00014052229706765316,0.000118,0.000164
0.198,0.01,1.e-12,200000.,0.0001475677967027886,0.000124,0.00017199999999999998
0.198,0.008,1.e-12,200000.,0.00015485848726833423,0.00013099999999999999,0.00017999999999999998
0.198,0.006,1.e-12,200000.,0.0001614484960882587,0.000137,0.000187
0.199,0.014,1.e-12,200000.,0.0001496626318986605,0.000126,0.000174
0.199,0.012,1.e-12,200000.,0.00015314242544956473,0.000129,0.000178
0.199,0.01,1.e-12,200000.,0.00015688252294036883,0.000133,0.00018199999999999998
0.199,0.008,1.e-12,200000.,0.00016067528830569948,0.000136,0.000186
0.199,0.006,1.e-12,200000.,0.0001640409400268326,0.000139,0.00018999999999999998
0.2,0.014,1.e-12,200000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,0.012,1.e-12,200000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,0.01,1.e-12,200000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,0.008,1.e-12,200000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,0.006,1.e-12,200000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.201,0.014,1.e-12,200000.,0.00018518201735041016,0.000159,0.000212
0.201,0.012,1.e-12,200000.,0.00018112979764720657,0.000155,0.000208
0.201,0.01,1.e-12,200000.,0.00017693292336072716,0.00015099999999999998,0.000203
0.201,0.008,1.e-12,200000.,0.0001728354320526598,0.000148,0.00019899999999999999
0.201,0.006,1.e-12,200000.,0.00016932590493833895,0.000144,0.000195
0.21,0.014,1.e-12,200000.,0.00042770101845563926,0.000388,0.00046899999999999996
0.21,0.012,1.e-12,200000.,0.0003578402204609983,0.000321,0.000395
0.21,0.01,1.e-12,200000.,0.0002927599065519563,0.00026,0.000327
0.21,0.008,1.e-12,200000.,0.0002367549400755174,0.000207,0.000267
0.21,0.006,1.e-12,200000.,0.00019480333111860114,0.000168,0.000223
0.19,0.014,1.e-8,100000.,0.000010100688960133638,4.e-6,0.000017
0.19,0.012,1.e-8,100000.,0.000013141937863167066,7.e-6,0.000021
0.19,0.01,1.e-8,100000.,0.00001795805154556901,9.999999999999999e-6,0.000027
0.19,0.008,1.e-8,100000.,0.000026058926872988083,0.000017,0.000037
0.19,0.006,1.e-8,100000.,0.000040552362174489076,0.000029,0.000053
0.196,0.014,1.e-8,100000.,0.0000593287015335839,0.000044999999999999996,0.000075
0.196,0.012,1.e-8,100000.,0.00006517138017895019,0.000049999999999999996,0.00008099999999999999
0.196,0.01,1.e-8,100000.,0.00007286710644940153,0.000056999999999999996,0.00008999999999999999
0.196,0.008,1.e-8,100000.,0.00008328288123819191,0.00006599999999999999,0.000102
0.196,0.006,1.e-8,100000.,0.0000977267487850284,0.000079,0.000118
0.197,0.014,1.e-8,100000.,0.00007788989359265752,0.000061,0.000096
0.197,0.012,1.e-8,100000.,0.00008340258063719261,0.00006599999999999999,0.000102
0.197,0.01,1.e-8,100000.,0.00009047549755716404,0.000072,0.00010999999999999999
0.197,0.008,1.e-8,100000.,0.00009975776501511109,0.00008099999999999999,0.00011999999999999999
0.197,0.006,1.e-8,100000.,0.00011217376554919039,0.000092,0.000133
0.198,0.014,1.e-8,100000.,0.00010136985908476356,0.000082,0.000122
0.198,0.012,1.e-8,100000.,0.00010593746355429666,0.00008599999999999999,0.000127
0.198,0.01,1.e-8,100000.,0.00011165745872980367,0.00009099999999999999,0.000133
0.198,0.008,1.e-8,100000.,0.00011895292993436876,0.000098,0.00014099999999999998
0.198,0.006,1.e-8,100000.,0.00012838911023306494,0.000107,0.00015099999999999998
0.199,0.014,1.e-8,100000.,0.0001306646816818784,0.00010899999999999999,0.000154
0.199,0.012,1.e-8,100000.,0.0001334655406483032,0.000111,0.000157
0.199,0.01,1.e-8,100000.,0.00013689701688732268,0.00011399999999999999,0.00015999999999999999
0.199,0.008,1.e-8,100000.,0.00014116141283673542,0.000118,0.000165
0.199,0.006,1.e-8,100000.,0.00014650957230234445,0.00012299999999999998,0.00017099999999999998
0.2,0.014,1.e-8,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,0.012,1.e-8,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,0.01,1.e-8,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,0.008,1.e-8,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,0.006,1.e-8,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.201,0.014,1.e-8,100000.,0.0002101975288438046,0.00018199999999999998,0.00023899999999999998
0.201,0.012,1.e-8,100000.,0.00020616709997380006,0.000179,0.000235
0.201,0.01,1.e-8,100000.,0.00020140240124601693,0.000174,0.00022999999999999998
0.201,0.008,1.e-8,100000.,0.0001957313537950907,0.000169,0.000224
0.201,0.006,1.e-8,100000.,0.0001889833168539552,0.000163,0.000216
0.21,0.014,1.e-8,100000.,0.0009667191140297722,0.000906,0.001028
0.21,0.012,1.e-8,100000.,0.0008718717924533318,0.000815,0.0009299999999999999
0.21,0.01,1.e-8,100000.,0.0007622739089983601,0.000709,0.0008169999999999999
0.21,0.008,1.e-8,100000.,0.0006371443738281728,0.000588,0.000687
0.21,0.006,1.e-8,100000.,0.0004989726639287794,0.00045599999999999997,0.000543
0.19,0.014,1.e-8,200000.,0.000032212835367259114,0.000022,0.000044
0.19,0.012,1.e-8,200000.,0.000040552362174489076,0.000029,0.000053
0.19,0.01,1.e-8,200000.,0.000051954172555846474,0.000037999999999999995,0.000067
0.19,0.008,1.e-8,200000.,0.00006751995522640496,0.000052,0.000084
0.19,0.006,1.e-8,200000.,0.00008829611157963318,0.00007,0.000107
0.196,0.014,1.e-8,200000.,0.00008990034222996604,0.000072,0.00010899999999999999
0.196,0.012,1.e-8,200000.,0.0000977267487850284,0.000079,0.000118
0.196,0.01,1.e-8,200000.,0.00010698416297240173,0.000087,0.000128
0.196,0.008,1.e-8,200000.,0.00011784882519660446,0.000097,0.00014
0.196,0.006,1.e-8,200000.,0.00013029593150148288,0.000108,0.000153
0.197,0.014,1.e-8,200000.,0.00010550581516944902,0.00008599999999999999,0.000126
0.197,0.012,1.e-8,200000.,0.00011217376554919039,0.000092,0.000133
0.197,0.01,1.e-8,200000.,0.00011989958663565547,0.000099,0.00014199999999999998
0.197,0.008,1.e-8,200000.,0.00012877155128912843,0.000107,0.00015099999999999998
0.197,0.006,1.e-8,200000.,0.00013871134710725434,0.000116,0.00016199999999999998
0.198,0.014,1.e-8,200000.,0.00012336390191573465,0.000102,0.000146
0.198,0.012,1.e-8,200000.,0.00012838911023306494,0.000107,0.00015099999999999998
0.198,0.01,1.e-8,200000.,0.0001340996005905601,0.000112,0.000157
0.198,0.008,1.e-8,200000.,0.0001405236503398802,0.000118,0.000164
0.198,0.006,1.e-8,200000.,0.0001475692500936027,0.000124,0.00017199999999999998
0.199,0.014,1.e-8,200000.,0.00014368368256695115,0.000121,0.000168
0.199,0.012,1.e-8,200000.,0.00014650957230234445,0.00012299999999999998,0.00017099999999999998
0.199,0.01,1.e-8,200000.,0.00014966329602239116,0.000126,0.000174
0.199,0.008,1.e-8,200000.,0.00015314315130775943,0.000129,0.000178
0.199,0.006,1.e-8,200000.,0.00015688328666263015,0.000133,0.00018199999999999998
0.2,0.014,1.e-8,200000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,0.012,1.e-8,200000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,0.01,1.e-8,200000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,0.008,1.e-8,200000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,0.006,1.e-8,200000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.201,0.014,1.e-8,200000.,0.00019250025697124164,0.000166,0.00021999999999999998
0.201,0.012,1.e-8,200000.,0.0001889833168539552,0.000163,0.000216
0.201,0.01,1.e-8,200000.,0.00018518122990258194,0.000159,0.000212
0.201,0.008,1.e-8,200000.,0.00018112896749824308,0.000155,0.000208
0.201,0.006,1.e-8,200000.,0.0001769320825176349,0.00015099999999999998,0.000203
0.21,0.014,1.e-8,200000.,0.0005693033979578288,0.000523,0.0006169999999999999
0.21,0.012,1.e-8,200000.,0.0004989726639287794,0.00045599999999999997,0.000543
0.21,0.01,1.e-8,200000.,0.0004276868086611969,0.000388,0.00046899999999999996
0.21,0.008,1.e-8,200000.,0.00035782659799248886,0.000321,0.000395
0.21,0.006,1.e-8,200000.,0.00029274764118510175,0.00026,0.000327
0.19,0.014,0.0001,100000.,6.207195614881573e-7,0.,3.e-6
0.19,0.012,0.0001,100000.,6.207197525481511e-7,0.,3.e-6
0.19,0.01,0.0001,100000.,6.207199436463871e-7,0.,3.e-6
0.19,0.008,0.0001,100000.,6.207201347828753e-7,0.,3.e-6
0.19,0.006,0.0001,100000.,6.207203259576285e-7,0.,3.e-6
0.196,0.014,0.0001,100000.,0.000021828761949498994,0.000013,0.000031
0.196,0.012,0.0001,100000.,0.00002182876438062384,0.000013,0.000031
0.196,0.01,0.0001,100000.,0.00002182876681223482,0.000013,0.000031
0.196,0.008,0.0001,100000.,0.000021828769244332056,0.000013,0.000031
0.196,0.006,0.0001,100000.,0.000021828771676915688,0.000013,0.000031
0.197,0.014,0.0001,100000.,0.000037752756406520895,0.000026,0.000049999999999999996
0.197,0.012,0.0001,100000.,0.00003775275944523065,0.000026,0.000049999999999999996
0.197,0.01,0.0001,100000.,0.00003775276248454794,0.000026,0.000049999999999999996
0.197,0.008,0.0001,100000.,0.000037752765524472914,0.000026,0.000049999999999999996
0.197,0.006,0.0001,100000.,0.00003775276856500575,0.000026,0.000049999999999999996
0.198,0.014,0.0001,100000.,0.00006382397522311407,0.000049,0.00007999999999999999
0.198,0.012,0.0001,100000.,0.00006382397848625792,0.000049,0.00007999999999999999
0.198,0.01,0.0001,100000.,0.00006382398175005407,0.000049,0.00007999999999999999
0.198,0.008,0.0001,100000.,0.00006382398501450269,0.000049,0.00007999999999999999
0.198,0.006,0.0001,100000.,0.00006382398827960397,0.000049,0.00007999999999999999
0.199,0.014,0.0001,100000.,0.00010490263376002319,0.00008499999999999999,0.000125
0.199,0.012,0.0001,100000.,0.00010490263627910774,0.00008499999999999999,0.000125
0.199,0.01,0.0001,100000.,0.00010490263879869584,0.00008499999999999999,0.000125
0.199,0.008,0.0001,100000.,0.00010490264131878756,0.00008499999999999999,0.000125
0.199,0.006,0.0001,100000.,0.00010490264383938306,0.00008499999999999999,0.000125
0.2,0.014,0.0001,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,0.012,0.0001,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,0.01,0.0001,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,0.008,0.0001,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,0.006,0.0001,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.201,0.014,0.0001,100000.,0.0002545770320033589,0.000224,0.000286
0.201,0.012,0.0001,100000.,0.0002545770268878363,0.000224,0.000286
0.201,0.01,0.0001,100000.,0.0002545770217712914,0.000224,0.000286
0.201,0.008,0.0001,100000.,0.00025457701665372394,0.000224,0.000286
0.201,0.006,0.0001,100000.,0.0002545770115351337,0.000224,0.000286
0.21,0.014,0.0001,100000.,0.0020071176095115754,0.0019199999999999998,0.002095
0.21,0.012,0.0001,100000.,0.0020071174958373253,0.0019199999999999998,0.002095
0.21,0.01,0.0001,100000.,0.0020071173821403564,0.0019199999999999998,0.002095
0.21,0.008,0.0001,100000.,0.0020071172684206643,0.0019199999999999998,0.002095
0.21,0.006,0.0001,100000.,0.0020071171546782395,0.0019199999999999998,0.002095
0.19,0.014,0.0001,200000.,6.20720230365468e-7,0.,3.e-6
0.19,0.012,0.0001,200000.,6.207203259576285e-7,0.,3.e-6
0.19,0.01,0.0001,200000.,6.207204215593575e-7,0.,3.e-6
0.19,0.008,0.0001,200000.,6.207205171706574e-7,0.,3.e-6
0.19,0.006,0.0001,200000.,6.207206127915283e-7,0.,3.e-6
0.196,0.014,0.0001,200000.,0.00002182877046056306,0.000013,0.000031
0.196,0.012,0.0001,200000.,0.000021828771676915688,0.000013,0.000031
0.196,0.01,0.0001,200000.,0.00002182877289338995,0.000013,0.000031
0.196,0.008,0.0001,200000.,0.000021828774109985882,0.000013,0.000031
0.196,0.006,0.0001,200000.,0.000021828775326703483,0.000013,0.000031
0.197,0.014,0.0001,200000.,0.00003775276704466333,0.000026,0.000049999999999999996
0.197,0.012,0.0001,200000.,0.00003775276856500575,0.000026,0.000049999999999999996
0.197,0.01,0.0001,200000.,0.0000377527700855002,0.000026,0.000049999999999999996
0.197,0.008,0.0001,200000.,0.00003775277160614665,0.000026,0.000049999999999999996
0.197,0.006,0.0001,200000.,0.00003775277312694518,0.000026,0.000049999999999999996
0.198,0.014,0.0001,200000.,0.00006382398664697175,0.000049,0.00007999999999999999
0.198,0.012,0.0001,200000.,0.00006382398827960397,0.000049,0.00007999999999999999
0.198,0.01,0.0001,200000.,0.00006382398991239945,0.000049,0.00007999999999999999
0.198,0.008,0.0001,200000.,0.00006382399154535816,0.000049,0.00007999999999999999
0.198,0.006,0.0001,200000.,0.00006382399317848016,0.000049,0.00007999999999999999
0.199,0.014,0.0001,200000.,0.00010490264257902232,0.00008499999999999999,0.000125
0.199,0.012,0.0001,200000.,0.00010490264383938306,0.00008499999999999999,0.000125
0.199,0.01,0.0001,200000.,0.00010490264509986977,0.00008499999999999999,0.000125
0.199,0.008,0.0001,200000.,0.00010490264636048252,0.00008499999999999999,0.000125
0.199,0.006,0.0001,200000.,0.00010490264762122126,0.00008499999999999999,0.000125
0.2,0.014,0.0001,200000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,0.012,0.0001,200000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,0.01,0.0001,200000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,0.008,0.0001,200000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,0.006,0.0001,200000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.201,0.014,0.0001,200000.,0.00025457701409455677,0.000224,0.000286
0.201,0.012,0.0001,200000.,0.0002545770115351337,0.000224,0.000286
0.201,0.01,0.0001,200000.,0.00025457700897545495,0.000224,0.000286
0.201,0.008,0.0001,200000.,0.00025457700641552027,0.000224,0.000286
0.201,0.006,0.0001,200000.,0.00025457700385532966,0.000224,0.000286
0.21,0.014,0.0001,200000.,0.0020071172115522936,0.0019199999999999998,0.002095
0.21,0.012,0.0001,200000.,0.0020071171546782395,0.0019199999999999998,0.002095
0.21,0.01,0.0001,200000.,0.002007117097798501,0.0019199999999999998,0.002095
0.21,0.008,0.0001,200000.,0.002007117040913077,0.0019199999999999998,0.002095
0.21,0.006,0.0001,200000.,0.002007116984021966,0.0019199999999999998,0.002095
0.19,0.,1.e-12,100000.,6.188102425782613e-7,0.,3.e-6
0.19,1.,1.e-12,100000.,6.188102425782613e-7,0.,3.e-6
0.196,0.,1.e-12,100000.,0.00002180444280711016,0.000013,0.000031
0.196,1.,1.e-12,100000.,0.00002180444280711016,0.000013,0.000031
0.197,0.,1.e-12,100000.,0.00003772235476436422,0.000026,0.000049999999999999996
0.197,1.,1.e-12,100000.,0.00003772235476436422,0.000026,0.000049999999999999996
0.198,0.,1.e-12,100000.,0.0000637913235053961,0.000049,0.00007999999999999999
0.198,1.,1.e-12,100000.,0.0000637913235053961,0.000049,0.00007999999999999999
0.199,0.,1.e-12,100000.,0.00010487742408577692,0.00008499999999999999,0.000125
0.199,1.,1.e-12,100000.,0.00010487742408577692,0.00008499999999999999,0.000125
0.2,0.,1.e-12,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,1.,1.e-12,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.201,0.,1.e-12,100000.,0.00025462823447484033,0.000224,0.000286
0.201,1.,1.e-12,100000.,0.00025462823447484033,0.000224,0.000286
0.21,0.,1.e-12,100000.,0.002008255310965974,0.001921,0.0020959999999999998
0.21,1.,1.e-12,100000.,0.002008255310965974,0.001921,0.0020959999999999998
0.19,0.,1.e-12,200000.,6.188102425782613e-7,0.,3.e-6
0.19,1.,1.e-12,200000.,6.188102425782613e-7,0.,3.e-6
0.196,0.,1.e-12,200000.,0.00002180444280711016,0.000013,0.000031
0.196,1.,1.e-12,200000.,0.00002180444280711016,0.000013,0.000031
0.197,0.,1.e-12,200000.,0.00003772235476436422,0.000026,0.000049999999999999996
0.197,1.,1.e-12,200000.,0.00003772235476436422,0.000026,0.000049999999999999996
0.198,0.,1.e-12,200000.,0.0000637913235053961,0.000049,0.00007999999999999999
0.198,1.,1.e-12,200000.,0.0000637913235053961,0.000049,0.00007999999999999999
0.199,0.,1.e-12,200000.,0.00010487742408577692,0.00008499999999999999,0.000125
0.199,1.,1.e-12,200000.,0.00010487742408577692,0.00008499999999999999,0.000125
0.2,0.,1.e-12,200000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,1.,1.e-12,200000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.201,0.,1.e-12,200000.,0.00025462823447484033,0.000224,0.000286
0.201,1.,1.e-12,200000.,0.00025462823447484033,0.000224,0.000286
0.21,0.,1.e-12,200000.,0.002008255310965974,0.001921,0.0020959999999999998
0.21,1.,1.e-12,200000.,0.002008255310965974,0.001921,0.0020959999999999998
0.19,0.,1.e-8,100000.,6.188102425782613e-7,0.,3.e-6
0.19,1.,1.e-8,100000.,6.188102425782613e-7,0.,3.e-6
0.196,0.,1.e-8,100000.,0.00002180444280711016,0.000013,0.000031
0.196,1.,1.e-8,100000.,0.00002180444280711016,0.000013,0.000031
0.197,0.,1.e-8,100000.,0.00003772235476436422,0.000026,0.000049999999999999996
0.197,1.,1.e-8,100000.,0.00003772235476436422,0.000026,0.000049999999999999996
0.198,0.,1.e-8,100000.,0.0000637913235053961,0.000049,0.00007999999999999999
0.198,1.,1.e-8,100000.,0.0000637913235053961,0.000049,0.00007999999999999999
0.199,0.,1.e-8,100000.,0.00010487742408577692,0.00008499999999999999,0.000125
0.199,1.,1.e-8,100000.,0.00010487742408577692,0.00008499999999999999,0.000125
0.2,0.,1.e-8,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,1.,1.e-8,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.201,0.,1.e-8,100000.,0.00025462823447484033,0.000224,0.000286
0.201,1.,1.e-8,100000.,0.00025462823447484033,0.000224,0.000286
0.21,0.,1.e-8,100000.,0.002008255310965974,0.001921,0.0020959999999999998
0.21,1.,1.e-8,100000.,0.002008255310965974,0.001921,0.0020959999999999998
0.19,0.,1.e-8,200000.,6.188102425782613e-7,0.,3.e-6
0.19,1.,1.e-8,200000.,6.188102425782613e-7,0.,3.e-6
0.196,0.,1.e-8,200000.,0.00002180444280711016,0.000013,0.000031
0.196,1.,1.e-8,200000.,0.00002180444280711016,0.000013,0.000031
0.197,0.,1.e-8,200000.,0.00003772235476436422,0.000026,0.000049999999999999996
0.197,1.,1.e-8,200000.,0.00003772235476436422,0.000026,0.000049999999999999996
0.198,0.,1.e-8,200000.,0.0000637913235053961,0.000049,0.00007999999999999999
0.198,1.,1.e-8,200000.,0.0000637913235053961,0.000049,0.00007999999999999999
0.199,0.,1.e-8,200000.,0.00010487742408577692,0.00008499999999999999,0.000125
0.199,1.,1.e-8,200000.,0.00010487742408577692,0.00008499999999999999,0.000125
0.2,0.,1.e-8,200000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,1.,1.e-8,200000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.201,0.,1.e-8,200000.,0.00025462823447484033,0.000224,0.000286
0.201,1.,1.e-8,200000.,0.00025462823447484033,0.000224,0.000286
0.21,0.,1.e-8,200000.,0.002008255310965974,0.001921,0.0020959999999999998
0.21,1.,1.e-8,200000.,0.002008255310965974,0.001921,0.0020959999999999998
0.19,0.,0.0001,100000.,6.188102425782613e-7,0.,3.e-6
0.19,1.,0.0001,100000.,6.188102425782613e-7,0.,3.e-6
0.196,0.,0.0001,100000.,0.00002180444280711016,0.000013,0.000031
0.196,1.,0.0001,100000.,0.00002180444280711016,0.000013,0.000031
0.197,0.,0.0001,100000.,0.00003772235476436422,0.000026,0.000049999999999999996
0.197,1.,0.0001,100000.,0.00003772235476436422,0.000026,0.000049999999999999996
0.198,0.,0.0001,100000.,0.0000637913235053961,0.000049,0.00007999999999999999
0.198,1.,0.0001,100000.,0.0000637913235053961,0.000049,0.00007999999999999999
0.199,0.,0.0001,100000.,0.00010487742408577692,0.00008499999999999999,0.000125
0.199,1.,0.0001,100000.,0.00010487742408577692,0.00008499999999999999,0.000125
0.2,0.,0.0001,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,1.,0.0001,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.201,0.,0.0001,100000.,0.00025462823447484033,0.000224,0.000286
0.201,1.,0.0001,100000.,0.00025462823447484033,0.000224,0.000286
0.21,0.,0.0001,100000.,0.002008255310965974,0.001921,0.0020959999999999998
0.21,1.,0.0001,100000.,0.002008255310965974,0.001921,0.0020959999999999998
0.19,0.,0.0001,200000.,6.188102425782613e-7,0.,3.e-6
0.19,1.,0.0001,200000.,6.188102425782613e-7,0.,3.e-6
0.196,0.,0.0001,200000.,0.00002180444280711016,0.000013,0.000031
0.196,1.,0.0001,200000.,0.00002180444280711016,0.000013,0.000031
0.197,0.,0.0001,200000.,0.00003772235476436422,0.000026,0.000049999999999999996
0.197,1.,0.0001,200000.,0.00003772235476436422,0.000026,0.000049999999999999996
0.198,0.,0.0001,200000.,0.0000637913235053961,0.000049,0.00007999999999999999
0.198,1.,0.0001,200000.,0.0000637913235053961,0.000049,0.00007999999999999999
0.199,0.,0.0001,200000.,0.00010487742408577692,0.00008499999999999999,0.000125
0.199,1.,0.0001,200000.,0.00010487742408577692,0.00008499999999999999,0.000125
0.2,0.,0.0001,200000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.2,1.,0.0001,200000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.201,0.,0.0001,200000.,0.00025462823447484033,0.000224,0.000286
0.201,1.,0.0001,200000.,0.00025462823447484033,0.000224,0.000286
0.21,0.,0.0001,200000.,0.002008255310965974,0.001921,0.0020959999999999998
0.21,1.,0.0001,200000.,0.002008255310965974,0.001921,0.0020959999999999998
0.,1.,1.e-12,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.,0.014,1.e-12,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.,0.012,1.e-12,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.,0.01,1.e-12,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.,0.008,1.e-12,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.,0.006,1.e-12,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.,0.,1.e-12,100000.,0.00016666666666666666,0.00014199999999999998,0.000192
0.,1.,1.e-12,200000.,0.00016666666666666666,0.00014199999999999998,0.000192
